open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1761955200000,4317.3,4338.5,4314.8,4328.1,103.575,1761969599999,448086.0471,6042,54.300,234869.3144,0
1761969600000,4328.0,4338.6,4324.0,4327.3,83.167,1761983999999,360257.6199,4409,46.292,200562.5253,0
1761984000000,4327.3,4333.9,4311.5,4319.2,209.548,1761998399999,905276.8976,6233,94.994,410437.2863,0
1761998400000,4318.8,4338.1,4311.6,4319.8,177.827,1762012799999,768930.6446,7217,90.848,392890.0941,0
1762012800000,4320.0,4338.2,4314.4,4323.9,260.720,1762027199999,1128848.6857,7417,94.005,406937.5795,0
1762027200000,4324.0,4328.5,4314.9,4316.4,120.874,1762041599999,522198.1672,4886,46.124,199262.8852,0
1762041600000,4316.8,4330.7,4316.7,4323.8,244.889,1762055999999,1059345.4062,5358,98.493,426075.8889,0
1762056000000,4323.8,4327.7,4314.1,4318.1,118.456,1762070399999,511678.2445,4838,46.902,202634.3037,0
1762070400000,4318.0,4357.9,4315.0,4345.2,392.852,1762084799999,1703049.6799,11402,212.020,919089.2852,0
1762084800000,4345.5,4370.5,4340.2,4359.6,229.839,1762099199999,1001384.8381,9049,97.582,425192.4907,0
1762099200000,4359.9,4373.4,4350.8,4365.5,252.923,1762113599999,1103034.8047,8760,91.490,399051.6526,0
1762113600000,4365.6,4366.3,4316.0,4320.1,148.452,1762127999999,644240.6321,6568,57.702,250373.3818,0
1762128000000,4320.6,4417.3,4316.9,4410.0,451.068,1762142399999,1971360.5163,17848,239.590,1047416.4481,0
1762142400000,4409.8,4442.4,4383.8,4420.7,736.547,1762156799999,3249692.0954,21625,351.532,1551087.8680,0
1762156800000,4420.8,4456.8,4411.8,4455.2,631.439,1762171199999,2802202.4162,18228,314.774,1397133.5882,0
1762171200000,4455.2,4543.9,4431.2,4532.0,1415.582,1762185599999,6361736.7427,29786,725.288,3261994.3353,0
1762185600000,4531.5,4556.0,4498.1,4554.1,946.043,1762199999999,4275614.2079,22278,434.632,1965039.6926,0
1762200000000,4554.1,4603.6,4549.6,4560.5,580.277,1762214399999,2655256.1893,20410,272.444,1246849.4692,0
1762214400000,4560.6,4567.0,4515.3,4526.3,465.217,1762228799999,2109400.8447,15934,235.772,1069046.2497,0
1762228800000,4527.0,4644.6,4519.6,4626.2,1238.676,1762243199999,5693345.0800,32272,652.756,3000480.7265,0
1762243200000,4626.2,4630.3,4547.9,4562.0,667.492,1762257599999,3056920.4411,21090,311.588,1427456.2076,0
1762257600000,4562.6,4592.0,4504.5,4530.6,820.223,1762271999999,3731436.6535,22512,356.798,1622976.9171,0
1762272000000,4530.5,4683.0,4519.3,4678.0,1416.721,1762286399999,6537109.6918,34078,740.453,3418809.1964,0
1762286400000,4678.3,4829.9,4620.0,4650.2,3027.091,1762300799999,14341859.0920,52048,1539.713,7299008.4707,0
1762300800000,4649.6,4747.0,4597.4,4609.5,1431.712,1762315199999,6695708.8485,35044,686.796,3213576.6986,0
1762315200000,4610.0,4618.5,4586.4,4599.6,614.729,1762329599999,2829830.7031,15837,300.225,1381991.2287,0
1762329600000,4601.5,4647.7,4601.5,4613.8,498.923,1762343999999,2308271.1117,18362,232.234,1074328.8461,0
1762344000000,4613.8,4633.9,4590.0,4596.0,470.964,1762358399999,2172189.9966,15725,202.950,936146.1209,0
1762358400000,4595.5,4611.7,4553.6,4561.3,382.959,1762372799999,1754984.7586,13643,189.884,870200.8570,0
1762372800000,4560.8,4568.4,4536.7,4567.9,251.977,1762387199999,1147171.5785,11512,118.273,538554.7639,0
1762387200000,4567.2,4589.4,4534.4,4549.6,326.595,1762401599999,1490722.8830,11663,142.767,652015.4161,0
1762401600000,4549.6,4606.7,4542.9,4597.8,239.770,1762415999999,1098787.7246,9009,133.872,613650.3000,0
1762416000000,4598.4,4608.6,4573.7,4596.5,213.018,1762430399999,978540.2376,8607,110.431,507367.3334,0
1762430400000,4596.4,4669.4,4591.9,4661.8,540.549,1762444799999,2498857.8046,18009,267.194,1235300.5367,0
1762444800000,4661.8,4661.9,4596.7,4605.2,689.656,1762459199999,3192367.5589,21951,268.225,1241732.9015,0
1762459200000,4604.4,4632.1,4578.1,4602.3,277.711,1762473599999,1278053.1194,11043,120.709,555583.0674,0
1762473600000,4602.6,4626.7,4563.2,4576.9,571.665,1762487999999,2622977.2980,20531,291.023,1335873.4717,0
1762488000000,4576.9,4606.0,4555.0,4556.5,422.993,1762502399999,1936383.9604,12643,212.474,972683.3603,0
1762502400000,4556.6,4631.0,4554.1,4610.6,466.954,1762516799999,2145991.7466,15108,213.400,980826.9023,0
1762516800000,4610.6,4653.7,4565.2,4571.5,650.045,1762531199999,2996829.1635,22143,314.605,1451446.0701,0
1762531200000,4572.2,4585.5,4443.3,4463.9,919.800,1762545599999,4134079.6622,26885,429.487,1929951.0879,0
1762545600000,4464.4,4491.6,4445.9,4485.9,330.884,1762559999999,1478380.2548,12911,176.548,788916.0742,0
1762560000000,4485.7,4486.8,4427.1,4438.9,606.018,1762574399999,2702237.2499,17454,293.851,1310283.2439,0
1762574400000,4438.2,4466.0,4408.2,4439.3,437.622,1762588799999,1942882.5477,16444,224.648,997272.2475,0
1762588800000,4438.5,4461.9,4425.2,4459.0,266.527,1762603199999,1184039.0820,10612,121.237,538533.5803,0
1762603200000,4459.0,4512.3,4456.4,4507.5,421.065,1762617599999,1888800.7223,13942,193.206,866419.7959,0
1762617600000,4507.4,4522.4,4478.5,4496.2,295.719,1762631999999,1331938.3461,11319,128.671,579589.6896,0
1762632000000,4496.2,4504.4,4483.6,4488.5,182.513,1762646399999,819789.5774,6103,96.972,435530.5496,0
1762646400000,4488.5,4531.4,4481.5,4519.6,270.015,1762660799999,1216720.8420,11186,153.321,690786.7997,0
