symbol,side,entry_price,exit_price,sl_price,quantity,entry_time,exit_time,pnl_usdt,exit_reason,strategy_scores,giris,cikis,R,kol
LTC/USDT:USDT,short,91.61,92.93048635177708,92.9282560736313,184.169,2023-04-12T06:00:00+00:00,2023-04-12T14:00:00+00:00,-244.90414239452465,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.8608535787710087, ""slot"": ""LTC/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 91.61, ""sl0"": 92.9282560736313, ""max_hold"": 24}",2023-04-12 06:00:00+00:00,2023-04-12 14:00:00+00:00,-1.0016918398408212,fvg
TRX/USDT:USDT,short,0.06405,0.06494155856,0.06623985227830283,179637.114,2023-04-12T06:00:00+00:00,2023-04-13T07:00:00+00:00,-161.32359809623483,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.0006661742610094077, ""slot"": ""TRX/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.06405, ""sl0"": 0.06623985227830283, ""max_hold"": 24}",2023-04-12 06:00:00+00:00,2023-04-13 07:00:00+00:00,-0.40713182749065463,fvg
NEAR/USDT:USDT,long,2.075,2.188947464,1.9966495883488204,4844.391,2023-04-12T10:00:00+00:00,2023-04-13T11:00:00+00:00,550.9456573350154,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.027834705503931873, ""slot"": ""NEAR/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 2.075, ""sl0"": 1.9966495883488204, ""max_hold"": 24}",2023-04-12 10:00:00+00:00,2023-04-13 11:00:00+00:00,1.4543314016944806,fvg
SOL/USDT:USDT,long,23.381,24.121421072,22.81277190728438,667.971,2023-04-12T10:00:00+00:00,2023-04-13T11:00:00+00:00,492.9685629094236,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.42409364238541186, ""slot"": ""SOL/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 23.381, ""sl0"": 22.81277190728438, ""max_hold"": 24}",2023-04-12 10:00:00+00:00,2023-04-13 11:00:00+00:00,1.303034963409589,fvg
ADA/USDT:USDT,long,0.3994,0.4129376097626186,0.39398495609495254,40208.358,2023-04-12T16:00:00+00:00,2023-04-13T12:00:00+00:00,542.6647054751654,tp_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.004050146350158247, ""slot"": ""ADA/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.3994, ""sl0"": 0.39398495609495254, ""max_hold"": 24}",2023-04-12 16:00:00+00:00,2023-04-13 12:00:00+00:00,2.50000000000001,fvg
XLM/USDT:USDT,long,0.105,0.10618571665361867,0.10452571333855253,161820.096,2023-04-13T11:00:00+00:00,2023-04-14T02:00:00+00:00,190.15448443110122,tp_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.0005809555381582622, ""slot"": ""XLM/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.105, ""sl0"": 0.10452571333855253, ""max_hold"": 24}",2023-04-13 11:00:00+00:00,2023-04-14 02:00:00+00:00,2.5,fvg
XRP/USDT:USDT,long,0.5098,0.5186636493362671,0.5062545402654932,33328.972,2023-04-13T11:00:00+00:00,2023-04-14T02:00:00+00:00,293.68766792164826,tp_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.0031515324483558566, ""slot"": ""XRP/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.5098, ""sl0"": 0.5062545402654932, ""max_hold"": 24}",2023-04-13 11:00:00+00:00,2023-04-14 02:00:00+00:00,2.5,fvg
BCH/USDT:USDT,long,130.21,131.97707828138945,129.50316868744423,154.963,2023-04-13T12:00:00+00:00,2023-04-14T01:00:00+00:00,271.78659532078063,tp_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.7894377085192663, ""slot"": ""BCH/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 130.21, ""sl0"": 129.50316868744423, ""max_hold"": 24}",2023-04-13 12:00:00+00:00,2023-04-14 01:00:00+00:00,2.5,fvg
ADA/USDT:USDT,long,0.408,0.41726051941889525,0.4042957922324419,41935.32,2023-04-13T15:00:00+00:00,2023-04-13T18:00:00+00:00,386.5930498570676,tp_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.004347359225193852, ""slot"": ""ADA/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.408, ""sl0"": 0.4042957922324419, ""max_hold"": 24}",2023-04-13 15:00:00+00:00,2023-04-13 18:00:00+00:00,2.500000000000015,fvg
SOL/USDT:USDT,long,24.607,24.268563751506985,24.26914621101605,700.604,2023-04-13T15:00:00+00:00,2023-04-14T01:00:00+00:00,-238.8100547230559,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.40617929661316454, ""slot"": ""SOL/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 24.607, ""sl0"": 24.26914621101605, ""max_hold"": 24}",2023-04-13 15:00:00+00:00,2023-04-14 01:00:00+00:00,-1.0017239987475552,fvg
TRX/USDT:USDT,long,0.0652,0.06624473055951216,0.06478210777619513,374202.784,2023-04-14T01:00:00+00:00,2023-04-14T03:00:00+00:00,388.46218763926043,tp_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.0004263074126828944, ""slot"": ""TRX/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.0652, ""sl0"": 0.06478210777619513, ""max_hold"": 24}",2023-04-14 01:00:00+00:00,2023-04-14 03:00:00+00:00,2.5,fvg
BCH/USDT:USDT,long,133.52,130.88244094675625,130.88558220072906,142.218,2023-04-14T03:00:00+00:00,2023-04-14T17:00:00+00:00,-376.969757332878,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.881392664236509, ""slot"": ""BCH/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 133.52, ""sl0"": 130.88558220072906, ""max_hold"": 24}",2023-04-14 03:00:00+00:00,2023-04-14 17:00:00+00:00,-1.0011923902023754,fvg
ICP/USDT:USDT,long,5.598,5.460945888283729,5.461076954130628,3235.955,2023-04-14T03:00:00+00:00,2023-04-14T14:00:00+00:00,-445.26807559401755,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.05974348623124079, ""slot"": ""ICP/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 5.598, ""sl0"": 5.461076954130628, ""max_hold"": 24}",2023-04-14 03:00:00+00:00,2023-04-14 14:00:00+00:00,-1.0009572226944483,fvg
LTC/USDT:USDT,long,96.79,93.9096897762957,93.91194366294361,153.95,2023-04-14T03:00:00+00:00,2023-04-14T17:00:00+00:00,-444.86949861338286,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.8935211235213066, ""slot"": ""LTC/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 96.79, ""sl0"": 93.91194366294361, ""max_hold"": 24}",2023-04-14 03:00:00+00:00,2023-04-14 17:00:00+00:00,-1.000783128050305,fvg
NEAR/USDT:USDT,long,2.245,2.198597728910551,2.1986504965224674,8458.356,2023-04-14T03:00:00+00:00,2023-04-14T14:00:00+00:00,-394.3465803122605,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.027831678258442356, ""slot"": ""NEAR/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 2.245, ""sl0"": 2.1986504965224674, ""max_hold"": 24}",2023-04-14 03:00:00+00:00,2023-04-14 14:00:00+00:00,-1.0011384719998564,fvg
XLM/USDT:USDT,long,0.10664,0.10519910842914827,0.10520163326834671,178066.498,2023-04-14T03:00:00+00:00,2023-04-14T18:00:00+00:00,-258.44775970235594,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.0005612224388443406, ""slot"": ""XLM/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.10664, ""sl0"": 0.10520163326834671, ""max_hold"": 24}",2023-04-14 03:00:00+00:00,2023-04-14 18:00:00+00:00,-1.0017553514989426,fvg
