ts,coin,direction,entry,sl,tp,atr,qty
2026-07-14T13:00:00+00:00,XRP,SHORT,1.0987,1.1219,1.06,0.0077,4592.058252725906
2026-07-14T15:00:00+00:00,BTC,SHORT,64727.5,65993.6388,62617.2687,422.0463,0.07536936395602911
2026-07-15T13:00:00+00:00,ETH,SHORT,1925.0,1974.5376,1842.4374,16.5125,2.5607102283884027
2026-07-15T13:00:00+00:00,XRP,SHORT,1.1213,1.1434,1.0845,0.0074,4450.9874829090595
2026-07-16T07:00:00+00:00,SOL,LONG,76.38,74.5171,79.4848,0.621,67.73257831259664
2026-07-17T02:00:00+00:00,ETH,LONG,1847.31,1804.0385,1919.4291,14.4238,2.7251040204499426
2026-07-17T05:00:00+00:00,BTC,LONG,62808.1,61750.5555,64570.6742,352.5148,0.07782129060515705
2026-07-17T05:00:00+00:00,SOL,LONG,74.35,72.5394,77.3677,0.6035,68.71960820221273
2026-07-17T05:00:00+00:00,BNB,LONG,569.7,561.1402,583.9663,2.8533,9.248029475028858
2026-07-18T13:00:00+00:00,XRP,LONG,1.0852,1.0713,1.1084,0.0046,4673.587237800319
2026-07-18T18:00:00+00:00,BTC,SHORT,64477.3,65041.1507,63537.5488,187.9502,0.07685494002066683
2026-07-19T02:00:00+00:00,ETH,SHORT,1870.78,1895.0964,1830.2527,8.1055,2.707468427873199
2026-07-19T23:00:00+00:00,BNB,SHORT,571.3,576.9975,561.8041,1.8992,9.212192510959197
2026-07-21T08:00:00+00:00,BNB,SHORT,578.7,586.4704,565.7493,2.5901,9.047216734001628
2026-07-22T07:00:00+00:00,BTC,LONG,65813.3,64947.2367,67256.7389,288.6878,0.07495044699744371
2026-07-22T16:00:00+00:00,ETH,SHORT,1948.99,1993.6733,1874.5179,14.8944,2.581408955588193
2026-07-22T16:00:00+00:00,XRP,SHORT,1.1529,1.1758,1.1147,0.0076,4413.466009227284
2026-07-23T13:00:00+00:00,BTC,LONG,64858.6,63970.0753,66339.4745,296.1749,0.07553817504358706
2026-07-23T13:00:00+00:00,SOL,LONG,76.66,75.1546,79.1689,0.5018,67.34805858809816
2026-07-23T13:00:00+00:00,BNB,LONG,567.6,561.4028,577.9287,2.0657,9.275707252988138
2026-07-23T13:00:00+00:00,XRP,LONG,1.1109,1.0906,1.1448,0.0068,4655.388650170168
2026-07-23T17:00:00+00:00,ETH,LONG,1877.73,1838.1708,1943.6621,13.1864,2.7300382721449856
