open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1746057600000,5366.3,5373.8,5338.8,5369.1,145.750,1746071999999,780455.5170,7604,61.830,331284.5062,0
1746072000000,5369.1,5382.4,5355.4,5364.1,114.523,1746086399999,615139.0148,6564,48.213,259087.2071,0
1746086400000,5364.1,5368.7,5318.6,5333.7,375.209,1746100799999,2004054.6127,17573,178.156,951884.2568,0
1746100800000,5333.0,5375.0,5321.0,5369.4,821.012,1746115199999,4386085.0501,24248,415.748,2221265.0956,0
1746115200000,5368.6,5379.8,5355.8,5377.8,120.430,1746129599999,646371.8245,7851,70.840,380187.5810,0
1746129600000,5377.4,5396.0,5371.9,5390.0,157.401,1746143999999,847536.7830,8323,76.950,414461.5616,0
1746144000000,5390.0,5415.2,5385.6,5408.2,241.856,1746158399999,1306242.1674,11581,146.630,791976.0655,0
1746158400000,5408.2,5444.8,5393.4,5443.1,184.262,1746172799999,998350.0007,9339,99.439,539071.3444,0
1746172800000,5443.2,5446.8,5415.4,5424.8,157.877,1746187199999,856982.9867,7886,65.164,353760.4803,0
1746187200000,5424.6,5440.0,5408.2,5437.8,194.647,1746201599999,1055831.8235,9270,89.838,487381.5289,0
1746201600000,5437.5,5449.0,5405.5,5442.9,161.697,1746215999999,877197.2635,8521,72.702,394620.2828,0
1746216000000,5442.6,5447.5,5425.9,5431.5,90.290,1746230399999,490722.0076,8096,36.073,196051.1791,0
1746230400000,5431.5,5441.1,5407.5,5409.9,125.084,1746244799999,678640.6760,7540,58.546,317783.1578,0
1746244800000,5409.9,5436.9,5405.0,5432.2,75.698,1746259199999,410176.3966,5356,37.587,203733.2435,0
1746259200000,5432.2,5444.6,5420.8,5434.3,143.102,1746273599999,777760.8513,7810,75.632,411159.2208,0
1746273600000,5434.8,5435.6,5405.4,5416.2,161.003,1746287999999,872086.6204,6660,50.297,272447.0395,0
1746288000000,5416.3,5462.8,5415.8,5434.4,258.560,1746302399999,1407513.1894,11609,148.912,810663.8306,0
1746302400000,5433.1,5443.1,5416.0,5420.6,76.644,1746316799999,416141.1888,5764,37.291,202460.6004,0
1746316800000,5420.5,5430.7,5407.5,5422.1,120.255,1746331199999,651733.6444,8186,69.628,377375.7096,0
1746331200000,5422.1,5436.8,5410.3,5422.1,90.784,1746345599999,492253.1108,6856,46.251,250819.5405,0
1746345600000,5421.6,5447.7,5413.0,5427.5,209.921,1746359999999,1140562.0525,9844,100.335,545164.4418,0
1746360000000,5427.6,5452.8,5423.8,5427.8,169.212,1746374399999,920084.9195,8931,82.824,450326.8072,0
1746374400000,5427.7,5458.5,5422.1,5456.8,148.161,1746388799999,806247.8444,7571,78.514,427309.2333,0
1746388800000,5456.9,5464.1,5433.6,5433.6,151.185,1746403199999,823420.5735,8550,66.533,362385.0410,0
1746403200000,5433.5,5451.4,5420.0,5429.1,188.500,1746417599999,1023899.6049,10068,92.654,503377.6001,0
1746417600000,5429.0,5430.1,5381.6,5390.0,335.532,1746431999999,1811866.2851,11260,124.422,671621.4291,0
1746432000000,5390.3,5423.8,5365.3,5419.7,243.276,1746446399999,1312468.3000,11811,132.419,714523.1789,0
1746446400000,5419.8,5439.5,5397.0,5420.3,214.878,1746460799999,1164899.9455,12271,108.990,591003.6422,0
1746460800000,5420.3,5425.7,5396.2,5403.1,144.460,1746475199999,781406.7637,9183,68.022,367966.7783,0
1746475200000,5402.5,5444.4,5401.8,5441.4,159.728,1746489599999,867575.5596,7647,99.411,539824.9319,0
1746489600000,5442.4,5473.2,5431.2,5456.9,354.465,1746503999999,1932836.3207,9921,237.385,1294306.0646,0
1746504000000,5456.9,5463.3,5445.0,5455.4,120.433,1746518399999,657074.6636,5851,62.964,343603.3094,0
1746518400000,5455.3,5524.7,5454.6,5506.2,475.038,1746532799999,2606639.8350,21147,276.126,1515531.5382,0
