open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1740787200000,3854.9,3869.3,3827.6,3863.0,285.110,1740801599999,1097804.5342,11517,125.783,484408.4224,0
1740801600000,3863.2,3892.5,3861.4,3879.0,276.202,1740815999999,1071569.7419,9935,144.776,561704.6234,0
1740816000000,3878.9,3930.8,3877.4,3923.9,366.389,1740830399999,1432669.0467,11348,218.760,855544.9855,0
1740830400000,3922.1,3963.8,3915.6,3934.1,567.958,1740844799999,2238442.1254,15176,236.881,933713.7461,0
1740844800000,3934.0,3945.8,3896.9,3914.6,249.069,1740859199999,976962.1095,10761,118.700,465690.0029,0
1740859200000,3914.5,3938.4,3898.3,3921.8,164.599,1740873599999,644661.2365,8404,76.263,298796.9832,0
1740873600000,3921.6,3930.0,3884.0,3889.4,192.017,1740887999999,750735.3113,8580,86.968,340168.5989,0
1740888000000,3889.0,3898.3,3867.8,3894.9,112.954,1740902399999,438877.7353,6835,62.050,241160.3855,0
1740902400000,3894.9,3897.6,3855.0,3876.5,239.322,1740916799999,927198.4274,9020,97.377,377510.2853,0
1740916800000,3876.5,3922.0,3715.0,3784.8,1411.211,1740931199999,5385201.6163,34219,621.960,2376199.8230,0
1740931200000,3784.0,3787.5,3603.6,3706.1,2913.902,1740945599999,10770928.7861,68905,1356.107,5017118.9850,0
1740945600000,3706.8,3727.7,3672.0,3674.8,403.420,1740959999999,1492711.5813,14942,190.689,705395.2350,0
1740960000000,3674.8,3768.2,3660.0,3742.5,611.999,1740974399999,2278347.3625,18507,255.138,950572.9220,0
1740974400000,3741.4,3839.4,3734.3,3823.2,563.379,1740988799999,2143856.8435,19222,299.193,1138490.5326,0
1740988800000,3823.3,3906.8,3820.6,3888.4,939.570,1741003199999,3641012.7328,25318,506.102,1961724.5905,0
1741003200000,3889.0,3898.1,3837.0,3861.0,696.613,1741017599999,2692700.5469,20310,332.589,1285649.1870,0
1741017600000,3861.5,3990.0,3855.4,3972.6,1403.764,1741031999999,5489216.7615,33365,805.296,3150525.2520,0
1741032000000,3972.8,4001.9,3927.6,3961.6,1043.380,1741046399999,4134958.7001,32914,535.158,2121505.2811,0
1741046400000,3961.6,4068.5,3938.7,4001.8,1589.048,1741060799999,6365092.1186,42253,801.787,3211760.5778,0
1741060800000,4002.1,4004.9,3941.7,3948.0,524.576,1741075199999,2080237.2290,19387,248.417,985146.5883,0
1741075200000,3948.0,3970.0,3922.9,3947.6,453.155,1741089599999,1787312.9042,16058,249.684,984878.0903,0
1741089600000,3947.7,3975.4,3860.5,3906.6,1488.990,1741103999999,5851469.9561,34627,758.493,2982321.6906,0
1741104000000,3906.6,4026.0,3905.8,3989.0,1401.639,1741118399999,5556889.2867,33828,744.636,2952950.7251,0
1741118400000,3988.6,4002.6,3949.2,3954.4,490.176,1741132799999,1946557.5373,16940,243.600,967483.3655,0
1741132800000,3954.4,3961.0,3919.1,3956.6,288.140,1741147199999,1136181.8459,12543,150.539,593571.5544,0
1741147200000,3957.6,3967.6,3934.2,3937.6,211.555,1741161599999,836042.7456,8703,106.297,420101.7149,0
1741161600000,3938.0,3991.8,3896.1,3986.9,422.990,1741175999999,1664028.5276,14276,206.121,811032.4017,0
1741176000000,3987.1,4025.2,3984.5,3984.8,741.120,1741190399999,2966476.6752,21179,391.842,1568620.1083,0
1741190400000,3984.8,4027.0,3972.2,3980.9,440.046,1741204799999,1758505.9570,14698,242.533,969469.1637,0
1741204800000,3980.5,3996.0,3975.9,3988.3,143.203,1741219199999,570698.9318,6783,68.860,274471.0515,0
1741219200000,3988.3,3998.5,3965.6,3975.3,318.411,1741233599999,1267942.7455,11717,145.110,577960.2356,0
1741233600000,3975.3,3989.2,3958.1,3970.2,255.606,1741247999999,1016262.4633,9918,120.409,478687.3506,0
1741248000000,3970.5,3974.7,3904.2,3921.8,425.138,1741262399999,1670036.2370,15263,186.960,734380.7068,0
1741262400000,3921.7,3958.2,3904.7,3932.4,419.485,1741276799999,1649487.5120,15700,202.035,794455.6355,0
1741276800000,3932.6,3949.6,3918.5,3927.5,254.110,1741291199999,1000112.9312,11680,135.811,534619.8751,0
1741291200000,3927.6,3991.2,3927.6,3976.7,212.328,1741305599999,842185.1288,9780,115.178,456786.0555,0
1741305600000,3976.8,4017.4,3950.0,3956.5,1058.232,1741319999999,4212719.5431,27649,505.675,2013774.5079,0
1741320000000,3957.3,3968.8,3941.9,3944.5,181.825,1741334399999,719434.0996,8607,85.800,339585.9946,0
1741334400000,3944.1,3972.4,3936.0,3955.0,176.719,1741348799999,698551.2654,8195,87.028,343986.4794,0
1741348800000,3955.1,3991.0,3930.7,3932.1,521.665,1741363199999,2070288.7227,17182,249.060,988427.3515,0
1741363200000,3932.2,3999.0,3922.3,3930.7,855.545,1741377599999,3390588.7348,22379,434.903,1724302.2958,0
1741377600000,3930.7,3998.0,3905.2,3987.2,594.022,1741391999999,2348132.7337,19125,299.367,1183921.0671,0
1741392000000,3987.0,3994.8,3952.6,3966.4,213.578,1741406399999,848351.5888,9501,109.790,436129.6598,0
1741406400000,3966.2,3990.8,3956.7,3971.5,238.294,1741420799999,947223.5787,9433,115.747,460215.9430,0
1741420800000,3971.5,4006.1,3969.0,3992.1,290.376,1741435199999,1158723.4170,9435,153.248,611599.9969,0
1741435200000,3992.1,3998.5,3949.0,3964.1,392.743,1741449599999,1557928.3531,12652,201.944,801095.4645,0
1741449600000,3963.5,3983.1,3919.2,3921.7,460.611,1741463999999,1816596.9394,12247,215.558,850164.5554,0
1741464000000,3921.9,3970.3,3920.0,3962.6,200.548,1741478399999,791066.0067,7952,98.107,387045.6906,0
1741478400000,3962.8,3991.4,3950.2,3980.1,300.307,1741492799999,1193370.5000,7913,147.400,585598.9803,0
1741492800000,3980.1,3985.0,3958.8,3964.2,208.953,1741507199999,830088.2798,6089,91.965,365361.4980,0
1741507200000,3964.2,4022.8,3961.6,4009.5,425.577,1741521599999,1702070.8437,10700,232.541,930070.3689,0
1741521600000,4009.9,4037.5,3993.5,4026.0,553.522,1741535999999,2222692.1760,15746,263.491,1058319.0334,0
1741536000000,4025.9,4176.6,4024.8,4093.2,1713.830,1741550399999,7043646.5021,44160,923.907,3797696.9887,0
1741550400000,4093.5,4111.5,4030.9,4049.2,607.036,1741564799999,2474640.0887,21686,284.832,1161410.0703,0
1741564800000,4049.1,4076.3,4024.4,4049.3,560.078,1741579199999,2265474.0090,15579,296.484,1199509.0991,0
1741579200000,4049.3,4053.6,4033.6,4036.8,250.569,1741593599999,1013232.0986,8211,109.404,442503.1018,0
1741593600000,4036.3,4055.2,3970.3,4022.8,633.018,1741607999999,2538370.3373,17693,322.587,1292809.7155,0
1741608000000,4022.9,4079.0,4007.2,4052.1,807.997,1741622399999,3271093.4878,21742,432.078,1749031.6165,0
1741622400000,4052.5,4240.9,4036.2,4184.2,1356.978,1741636799999,5631002.7366,36520,745.137,3093393.1160,0
1741636800000,4184.2,4243.6,4172.3,4218.9,530.651,1741651199999,2231537.2139,18117,333.825,1403766.1961,0
1741651200000,4218.8,4344.0,4187.4,4249.9,1350.573,1741665599999,5766576.2689,38773,716.742,3062718.0501,0
1741665600000,4249.4,4259.9,4163.3,4183.6,470.038,1741679999999,1973886.8816,17478,254.923,1070313.7609,0
1741680000000,4183.6,4226.0,4166.8,4206.8,396.195,1741694399999,1662614.9628,13703,200.307,840478.0380,0
1741694400000,4206.6,4260.9,4185.4,4192.5,1057.884,1741708799999,4464150.3378,29703,498.801,2105081.9513,0
1741708800000,4192.6,4238.3,4174.5,4192.4,458.650,1741723199999,1927846.9714,17362,231.959,975447.0999,0
1741723200000,4192.0,4250.0,4188.3,4246.1,270.587,1741737599999,1141519.9723,11107,138.349,584075.9335,0
1741737600000,4245.3,4286.0,4224.4,4283.2,375.797,1741751999999,1597426.1441,12839,180.181,766178.3642,0
1741752000000,4283.2,4298.0,4200.0,4229.2,378.841,1741766399999,1609516.4184,14749,173.316,736583.8562,0
1741766400000,4229.1,4255.0,4172.1,4216.7,664.661,1741780799999,2804758.3746,19113,338.587,1428885.2172,0
1741780800000,4216.0,4256.2,4195.9,4223.5,637.804,1741795199999,2697463.5276,21892,316.750,1339726.6948,0
1741795200000,4223.3,4249.2,4203.4,4238.0,233.993,1741809599999,989097.1882,10070,134.295,567778.2460,0
1741809600000,4238.6,4244.0,4213.5,4234.2,147.198,1741823999999,622561.7381,6492,61.971,262258.4341,0
1741824000000,4234.2,4274.2,4232.5,4253.5,196.962,1741838399999,837112.1880,9143,121.910,518133.2320,0
1741838400000,4254.2,4276.7,4245.0,4258.7,146.500,1741852799999,624770.2216,8406,68.761,293254.8144,0
1741852800000,4258.7,4261.7,4185.0,4185.0,378.353,1741867199999,1597092.0732,13598,179.189,756535.4213,0
1741867200000,4185.1,4194.5,4127.4,4133.4,676.275,1741881599999,2811739.3766,22400,302.986,1260116.5366,0
1741881600000,4133.8,4182.9,4123.4,4155.0,510.392,1741895999999,2122393.9018,14035,206.499,858346.0650,0
1741896000000,4155.6,4198.3,4151.4,4166.6,210.979,1741910399999,880244.7757,9843,92.992,388004.7985,0
1741910400000,4166.4,4170.5,4150.3,4155.3,145.220,1741924799999,604197.4761,7864,70.477,293271.7888,0
1741924800000,4154.9,4170.9,4139.5,4169.6,118.758,1741939199999,493315.4320,6463,55.849,232102.0805,0
