open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1756684800000,3841.9,3855.9,3820.7,3836.0,556.806,1756699199999,2139283.7168,14084,272.615,1047263.6655,0
1756699200000,3836.2,3868.0,3831.4,3834.6,504.386,1756713599999,1941839.4445,12099,269.707,1038171.5343,0
1756713600000,3834.4,3872.5,3814.9,3866.3,780.437,1756727999999,2997272.5595,14837,371.634,1427654.7482,0
1756728000000,3866.1,3966.1,3860.2,3893.1,1006.520,1756742399999,3909569.9043,22118,552.747,2148245.9244,0
1756742400000,3893.1,3929.5,3891.4,3894.6,802.258,1756756799999,3136624.8542,18280,416.105,1626932.0744,0
1756756800000,3894.3,3946.7,3894.0,3935.7,964.126,1756771199999,3788270.1926,20622,557.969,2192125.1059,0
1756771200000,3935.7,3946.9,3910.3,3919.7,524.366,1756785599999,2059346.8346,12878,230.079,903753.0066,0
1756785600000,3919.2,3923.4,3886.5,3908.9,481.792,1756799999999,1878939.5110,10939,252.296,983854.4155,0
1756800000000,3909.0,3909.3,3886.1,3909.1,416.729,1756814399999,1625005.4737,8940,207.961,810952.6471,0
1756814400000,3909.3,3988.9,3900.0,3981.6,1164.662,1756828799999,4589125.8391,20246,552.833,2179134.3601,0
1756828800000,3981.5,3987.4,3942.3,3963.3,487.894,1756843199999,1934982.1233,13316,271.333,1076007.1347,0
1756843200000,3962.6,3970.9,3922.4,3927.4,341.966,1756857599999,1348405.8825,10221,165.316,652132.0455,0
1756857600000,3927.4,3960.5,3912.9,3923.1,336.666,1756871999999,1324482.4731,9966,161.000,633426.9489,0
1756872000000,3923.2,3953.6,3922.3,3942.7,340.531,1756886399999,1339495.4623,8453,199.793,785935.6644,0
1756886400000,3942.4,3943.3,3907.2,3914.7,398.434,1756900799999,1562890.5381,9288,179.381,703488.5877,0
1756900800000,3914.9,3922.4,3872.4,3882.3,838.233,1756915199999,3264121.5729,16749,361.629,1408966.6552,0
1756915200000,3882.3,3899.5,3881.8,3887.5,325.455,1756929599999,1265930.1084,10077,135.500,527074.3035,0
1756929600000,3887.2,3903.0,3884.4,3888.1,208.662,1756943999999,812482.8882,7665,89.606,348899.6643,0
1756944000000,3888.0,3916.0,3881.1,3906.9,260.182,1756958399999,1013897.7088,9357,116.089,452444.3697,0
1756958400000,3906.5,3915.8,3897.6,3903.9,347.120,1756972799999,1356460.5228,9012,156.166,610399.5700,0
1756972800000,3904.2,3912.2,3884.3,3899.3,397.579,1756987199999,1550277.6181,9408,208.398,812295.9114,0
1756987200000,3899.4,3919.5,3890.1,3916.8,534.800,1757001599999,2088056.7897,10901,279.705,1091972.5835,0
1757001600000,3918.0,3960.9,3912.1,3955.5,260.338,1757015999999,1024471.9098,8861,135.868,534774.8289,0
1757016000000,3955.6,3971.8,3944.0,3971.1,291.966,1757030399999,1154875.1848,8784,141.922,561465.1375,0
1757030400000,3971.1,3992.1,3958.0,3970.5,406.696,1757044799999,1616524.5347,9945,244.344,971584.2054,0
1757044800000,3970.0,3984.9,3949.7,3956.8,634.956,1757059199999,2520521.3311,13417,321.666,1276912.4027,0
1757059200000,3956.8,3971.9,3933.5,3940.9,418.321,1757073599999,1654005.6087,16278,173.981,687569.2245,0
1757073600000,3941.0,3978.6,3919.0,3966.6,1216.477,1757087999999,4798762.8784,20383,560.948,2213011.8547,0
1757088000000,3966.0,3972.6,3946.4,3954.1,272.515,1757102399999,1079771.7009,8131,125.573,497742.3366,0
1757102400000,3953.6,3955.6,3937.2,3946.0,285.528,1757116799999,1126909.9655,6283,149.790,591151.0030,0
1757116800000,3946.0,3953.8,3934.9,3946.1,264.262,1757131199999,1042600.9970,5279,123.933,488979.9056,0
1757131200000,3946.1,3958.9,3945.0,3945.6,184.416,1757145599999,728761.7128,5253,85.454,337715.6855,0
1757145600000,3945.5,3965.0,3945.2,3961.1,188.565,1757159999999,746412.1831,6575,115.898,458757.9831,0
1757160000000,3961.0,3969.7,3954.3,3962.3,299.029,1757174399999,1184869.3037,7823,135.443,536691.5146,0
1757174400000,3961.7,3969.0,3940.3,3965.1,279.036,1757188799999,1104390.0038,6768,136.060,538725.9510,0
1757188800000,3965.1,3965.8,3947.0,3955.2,165.353,1757203199999,654300.6059,5162,64.691,256025.2782,0
1757203200000,3955.2,3963.8,3938.4,3941.5,281.163,1757217599999,1110037.8425,6411,146.615,579033.4349,0
1757217600000,3941.6,3948.9,3935.6,3945.6,179.139,1757231999999,706343.9112,5312,94.602,373014.2867,0
1757232000000,3945.7,3956.6,3940.7,3950.4,174.611,1757246399999,689915.7439,4319,99.915,394867.8866,0
1757246400000,3950.1,3955.7,3922.9,3935.8,415.125,1757260799999,1634964.1127,8094,224.427,883935.2973,0
1757260800000,3935.8,3957.7,3934.2,3949.1,237.821,1757275199999,939083.9666,6047,102.165,403485.5979,0
1757275200000,3949.4,3953.6,3910.7,3920.8,348.196,1757289599999,1368891.4988,7065,164.538,647042.6577,0
1757289600000,3920.2,3926.9,3894.8,3903.9,414.860,1757303999999,1621579.0001,8621,167.499,654827.7407,0
1757304000000,3903.8,3928.6,3896.7,3921.3,431.398,1757318399999,1689607.7538,8592,217.532,852086.6329,0
1757318400000,3920.9,3933.4,3899.2,3916.5,361.129,1757332799999,1413728.2980,8729,177.951,696830.0330,0
1757332800000,3916.8,3919.6,3886.3,3891.9,535.697,1757347199999,2088696.9272,10300,205.825,802314.4543,0
1757347200000,3892.1,3922.8,3881.0,3914.9,758.664,1757361599999,2960804.4247,11166,319.489,1247063.4639,0
1757361600000,3914.7,3922.7,3901.2,3906.2,197.528,1757375999999,772396.2847,6830,93.657,366255.2797,0
1757376000000,3906.8,3914.5,3896.2,3900.6,491.547,1757390399999,1919205.9089,11848,258.330,1008706.8055,0
1757390400000,3900.8,3910.9,3872.3,3882.7,508.877,1757404799999,1979955.3424,11198,221.455,861472.0490,0
1757404800000,3882.7,3889.9,3875.4,3879.0,460.149,1757419199999,1786208.3677,11039,206.814,802793.4704,0
1757419200000,3879.1,3909.0,3866.8,3887.9,897.733,1757433599999,3492348.1852,19127,445.665,1733889.7117,0
1757433600000,3887.0,3891.1,3867.2,3881.3,655.933,1757447999999,2547148.4280,9978,365.082,1417946.1824,0
1757448000000,3881.2,3888.8,3873.0,3883.7,342.647,1757462399999,1329943.1494,9039,194.232,753866.6548,0
1757462400000,3883.7,3890.6,3855.8,3864.9,570.212,1757476799999,2206318.2082,10884,301.616,1166890.7903,0
1757476800000,3865.0,3885.9,3864.5,3882.7,229.237,1757491199999,888214.1139,7003,111.051,430323.9242,0
1757491200000,3882.8,3895.4,3881.1,3884.6,416.404,1757505599999,1618831.6515,9938,223.002,866913.4932,0
1757505600000,3884.8,3894.1,3856.8,3881.0,637.079,1757519999999,2471116.1351,13705,326.580,1266890.3177,0
1757520000000,3880.1,3934.1,3875.3,3925.3,666.262,1757534399999,2604341.8313,13401,291.744,1139268.6744,0
1757534400000,3925.1,3930.7,3905.4,3909.5,343.342,1757548799999,1345383.6036,8364,164.494,644583.2119,0
1757548800000,3909.5,3916.0,3882.8,3885.8,424.200,1757563199999,1653199.8474,9032,222.401,866574.7271,0
1757563200000,3885.7,3887.7,3848.1,3860.3,608.738,1757577599999,2355487.2106,9733,373.254,1444129.2924,0
1757577600000,3859.9,3871.9,3848.0,3859.2,366.710,1757591999999,1414938.5410,9607,199.570,770104.8832,0
1757592000000,3859.2,3890.7,3828.0,3883.4,962.218,1757606399999,3724263.7360,19748,526.792,2039458.9153,0
1757606400000,3882.9,3896.0,3867.1,3875.8,497.481,1757620799999,1929684.9976,11011,209.323,812355.3490,0
1757620800000,3875.3,3883.5,3868.4,3878.5,355.439,1757635199999,1377858.9777,10567,175.755,681327.0866,0
1757635200000,3878.5,3888.4,3833.5,3834.2,587.907,1757649599999,2264358.5033,12077,239.851,923994.8055,0
1757649600000,3834.0,3837.3,3802.7,3812.0,1043.215,1757663999999,3980769.9162,23269,510.284,1947678.0068,0
1757664000000,3812.0,3826.2,3809.9,3817.4,330.939,1757678399999,1263477.0926,8449,146.689,560004.6514,0
1757678400000,3816.1,3828.7,3791.7,3810.1,513.047,1757692799999,1953120.8775,11228,244.364,930613.5312,0
1757692800000,3810.9,3816.9,3750.0,3787.2,799.483,1757707199999,3031953.7201,16211,366.916,1392701.9600,0
1757707200000,3787.3,3787.3,3728.3,3738.8,621.126,1757721599999,2331593.8219,12820,260.321,977612.6498,0
1757721600000,3738.7,3747.4,3701.0,3705.0,464.971,1757735999999,1733175.0113,9614,220.530,822697.5407,0
1757736000000,3705.0,3721.2,3696.2,3720.7,421.517,1757750399999,1563154.7157,7687,205.995,764331.2187,0
1757750400000,3720.6,3720.7,3675.5,3694.7,543.892,1757764799999,2010988.5620,10324,237.978,880234.6740,0
1757764800000,3694.7,3735.7,3686.6,3730.6,574.386,1757779199999,2133178.5834,12949,295.153,1096385.3592,0
1757779200000,3730.6,3764.9,3724.0,3752.3,405.073,1757793599999,1516824.1685,10753,184.530,690836.4042,0
1757793600000,3752.3,3754.3,3732.0,3733.7,139.971,1757807999999,523725.1275,5784,64.849,242747.7328,0
1757808000000,3733.7,3752.2,3707.7,3734.1,859.181,1757822399999,3196457.6189,19586,443.493,1650474.2152,0
1757822400000,3733.6,3751.0,3719.3,3742.2,320.706,1757836799999,1197578.0570,8103,158.054,590337.4151,0
1757836800000,3741.1,3769.2,3735.9,3765.1,411.440,1757851199999,1542602.4196,9372,156.477,586996.6061,0
1757851200000,3765.0,3798.7,3752.5,3787.1,758.971,1757865599999,2868114.2174,15562,420.043,1587782.6194,0
1757865600000,3786.7,3793.5,3760.5,3784.1,323.767,1757879999999,1223981.6907,8550,148.556,561839.9514,0
1757880000000,3784.2,3798.8,3773.6,3784.0,331.150,1757894399999,1253642.5622,7532,195.467,740344.7576,0
1757894400000,3784.1,3787.9,3757.7,3758.9,209.026,1757908799999,788352.8339,6573,80.620,304112.1903,0
1757908800000,3759.1,3822.4,3752.6,3816.7,547.814,1757923199999,2077714.1868,11649,314.227,1191993.4002,0
1757923200000,3817.5,3863.8,3817.5,3836.2,1243.795,1757937599999,4781546.1101,20971,650.714,2501044.1254,0
1757937600000,3836.3,3859.3,3815.4,3846.6,513.255,1757951999999,1970010.6521,11803,235.351,903304.8903,0
1757952000000,3846.6,3872.7,3840.6,3869.9,303.040,1757966399999,1169181.8890,8936,134.259,517897.5225,0
1757966400000,3870.8,3874.4,3838.4,3850.7,354.773,1757980799999,1366010.2848,7262,147.154,566843.1700,0
1757980800000,3850.8,3909.4,3840.3,3856.5,449.162,1757995199999,1731827.7140,9370,270.911,1045166.5054,0
1757995200000,3856.4,3877.7,3853.7,3857.5,308.017,1758009599999,1189838.5797,9100,152.941,590853.7948,0
1758009600000,3857.6,3857.8,3837.5,3842.1,253.027,1758023999999,973001.9230,7534,120.441,463258.0777,0
1758024000000,3841.3,3899.9,3834.7,3864.9,611.491,1758038399999,2366227.2220,13063,332.086,1285520.9834,0
1758038400000,3866.5,3907.7,3826.0,3875.0,571.808,1758052799999,2212824.7118,9853,283.455,1097674.7510,0
1758052800000,3876.0,3879.9,3856.8,3874.6,202.865,1758067199999,784745.2030,5001,110.779,428506.3148,0
1758067200000,3874.5,3878.5,3852.7,3876.4,256.712,1758081599999,992313.4399,6547,111.476,430954.8278,0
1758081600000,3876.4,4000.0,3866.4,3869.7,1290.778,1758095999999,5041046.6096,21314,634.229,2478711.5748,0
1758096000000,3870.5,3890.6,3870.3,3878.3,200.317,1758110399999,777752.0536,6066,111.261,432028.9307,0
1758110400000,3878.3,3881.1,3856.2,3868.6,188.799,1758124799999,729668.2261,5405,93.008,359388.0741,0
1758124800000,3868.7,3875.0,3821.0,3822.2,953.770,1758139199999,3676228.9106,14566,494.809,1908041.6134,0
1758139200000,3822.0,3844.3,3758.8,3771.2,932.666,1758153599999,3539098.1248,16713,455.064,1727388.6932,0
1758153600000,3771.5,3787.9,3750.0,3780.9,930.100,1758167999999,3501843.6197,16371,446.354,1681043.8422,0
1758168000000,3781.0,3815.7,3781.0,3791.3,357.257,1758182399999,1357041.0254,8041,155.096,588983.2406,0
1758182400000,3791.1,3795.3,3771.0,3781.2,742.041,1758196799999,2805780.0289,12139,304.851,1152879.4992,0
1758196800000,3781.1,3795.5,3772.5,3783.3,379.402,1758211199999,1435853.7498,7638,187.249,708991.2880,0
1758211200000,3783.1,3786.6,3763.1,3783.5,292.936,1758225599999,1105285.7826,6514,145.947,550653.2087,0
1758225600000,3783.3,3786.8,3776.0,3782.0,110.465,1758239999999,417681.3994,4328,48.426,183120.6618,0
1758240000000,3782.1,3812.0,3768.4,3810.6,305.991,1758254399999,1158988.2460,8383,160.816,609272.8961,0
1758254400000,3810.0,3824.6,3797.7,3812.1,390.712,1758268799999,1489975.8732,9349,172.199,656939.7096,0
1758268800000,3812.2,3835.3,3807.1,3826.5,738.175,1758283199999,2819246.8874,13745,430.094,1642869.5763,0
1758283200000,3826.4,3856.5,3805.1,3842.0,537.059,1758297599999,2058112.8236,12385,259.885,995554.7895,0
1758297600000,3841.0,3861.6,3829.2,3841.5,212.623,1758311999999,817318.5374,7972,93.462,359422.4635,0
1758312000000,3841.7,3854.4,3828.8,3839.7,183.796,1758326399999,705723.7579,6047,88.031,338108.3938,0
1758326400000,3839.7,3877.6,3830.1,3832.5,485.957,1758340799999,1866406.4431,11266,267.039,1026110.1839,0
1758340800000,3832.5,3836.0,3820.9,3826.8,150.039,1758355199999,574311.7097,5792,59.194,226598.5356,0
1758355200000,3826.9,3849.4,3826.3,3839.8,204.611,1758369599999,786223.7147,6068,106.249,408278.1429,0
1758369600000,3839.9,3851.2,3809.4,3814.8,217.578,1758383999999,833302.8058,6489,102.073,391037.3113,0
1758384000000,3814.8,3831.8,3810.0,3827.2,252.856,1758398399999,966505.0010,6907,111.115,424683.4029,0
1758398400000,3827.4,3828.3,3806.3,3812.0,244.148,1758412799999,931957.4700,7102,91.709,350010.5596,0
1758412800000,3812.1,3816.2,3783.5,3791.4,450.885,1758427199999,1711137.9448,9379,184.986,702206.8970,0
1758427200000,3791.4,3803.9,3786.9,3802.7,185.163,1758441599999,702409.6617,6339,100.010,379392.5183,0
1758441600000,3802.0,3829.3,3798.6,3823.7,259.459,1758455999999,990204.9304,7645,110.270,420953.1862,0
1758456000000,3823.6,3826.0,3807.2,3809.6,255.034,1758470399999,973023.5328,7797,106.328,405748.8248,0
1758470400000,3809.6,3831.2,3805.7,3808.8,271.245,1758484799999,1035595.0866,7136,138.422,528461.7779,0
1758484800000,3808.8,3830.1,3806.8,3827.4,155.286,1758499199999,592948.0665,5733,62.675,239455.8175,0
1758499200000,3826.9,3999.0,3824.7,3914.8,1635.952,1758513599999,6363575.0442,29417,854.709,3325748.1180,0
1758513600000,3914.8,4185.7,3904.3,3961.7,2036.700,1758527999999,8124981.3308,34035,1049.807,4191253.9828,0
1758528000000,3961.4,3990.8,3950.6,3975.9,570.721,1758542399999,2265213.9830,15525,274.015,1087640.7015,0
1758542400000,3975.7,3979.5,3939.8,3975.8,757.457,1758556799999,3002549.8495,14239,310.717,1231156.4765,0
1758556800000,3975.5,4005.1,3959.8,3991.9,616.343,1758571199999,2453836.1118,15501,307.261,1223282.2036,0
1758571200000,3993.0,3995.9,3949.5,3954.2,313.456,1758585599999,1243664.9785,8856,158.273,627907.8323,0
1758585600000,3954.1,4006.6,3940.1,3957.4,598.190,1758599999999,2375014.5077,12763,307.205,1219678.4670,0
1758600000000,3956.6,3983.1,3949.8,3962.5,247.856,1758614399999,982337.1847,8164,117.158,464282.5597,0
1758614400000,3962.4,3972.8,3947.5,3962.9,254.022,1758628799999,1006969.1784,7898,139.274,552205.5813,0
1758628800000,3963.0,3968.7,3943.7,3952.9,225.828,1758643199999,893480.3605,7598,99.213,392503.5606,0
1758643200000,3953.4,3963.1,3928.4,3952.0,373.840,1758657599999,1476532.7780,10484,194.454,768303.4059,0
1758657600000,3952.2,3967.7,3941.7,3967.7,103.814,1758671999999,410410.2123,5580,54.655,216103.9525,0
1758672000000,3967.2,3995.6,3948.0,3985.7,287.209,1758686399999,1141148.3377,7620,148.941,592119.6616,0
1758686400000,3985.8,4023.0,3965.3,3969.8,657.828,1758700799999,2626910.5772,12296,241.843,966066.0884,0
1758700800000,3969.1,3979.5,3961.6,3976.3,139.595,1758715199999,554190.3351,7369,67.670,268605.8848,0
1758715200000,3975.7,3991.9,3963.0,3976.6,358.341,1758729599999,1424673.5786,7043,223.322,887850.6634,0
1758729600000,3976.5,3986.8,3970.3,3976.8,171.282,1758743999999,681783.5493,4872,70.041,278771.6151,0
1758744000000,3977.0,4005.5,3976.2,3995.6,182.929,1758758399999,729859.6452,5459,84.324,336481.3382,0
1758758400000,3997.0,4060.0,3992.0,4043.8,878.443,1758772799999,3540542.0316,20692,437.766,1764457.1116,0
1758772800000,4043.9,4099.0,4039.0,4069.3,1141.217,1758787199999,4635605.3970,22569,540.034,2193754.8413,0
1758787200000,4070.0,4094.5,4050.0,4082.2,523.475,1758801599999,2130904.2459,10062,227.618,926269.4513,0
1758801600000,4082.9,4250.0,4048.0,4074.0,1278.180,1758815999999,5230039.9706,20535,617.589,2531245.3425,0
1758816000000,4073.1,4140.4,4058.7,4085.3,1101.925,1758830399999,4524837.5132,21156,582.571,2391381.8090,0
1758830400000,4085.8,4139.9,4079.6,4124.6,539.325,1758844799999,2217758.4238,13012,292.237,1201964.7572,0
1758844800000,4124.3,4125.0,4076.4,4085.6,405.227,1758859199999,1661275.2946,10482,122.898,503828.3256,0
1758859200000,4084.9,4112.1,4076.1,4086.5,310.724,1758873599999,1272259.0227,8403,148.885,609798.3373,0
1758873600000,4086.1,4153.0,4083.5,4124.1,506.278,1758887999999,2087661.4025,11684,269.946,1113379.1421,0
1758888000000,4124.2,4251.0,4034.5,4075.7,1086.570,1758902399999,4456380.1784,21105,505.303,2078556.1270,0
1758902400000,4076.6,4081.3,4007.0,4009.9,601.810,1758916799999,2430851.7498,12755,307.094,1241084.9539,0
1758916800000,4011.1,4028.1,4005.1,4009.0,187.351,1758931199999,752020.8257,5316,86.726,348197.8264,0
