open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754006400000,4463.9,4519.3,4451.5,4471.8,896.889,1754020799999,4019751.9866,27395,456.642,2047485.6041,0
1754020800000,4471.7,4527.5,4471.7,4506.5,721.246,1754035199999,3249271.2637,24205,320.927,1446047.5568,0
1754035200000,4507.0,4555.0,4506.8,4514.0,998.423,1754049599999,4527251.3161,30802,501.234,2273057.6877,0
1754049600000,4514.5,4550.4,4498.6,4515.3,958.242,1754063999999,4333203.5171,28036,477.085,2158137.2763,0
1754064000000,4516.1,4552.3,4491.3,4504.0,780.110,1754078399999,3526993.7460,24360,368.353,1665871.8401,0
1754078400000,4504.0,4631.4,4499.9,4565.7,1417.144,1754092799999,6469948.3368,36511,774.035,3535095.4384,0
1754092800000,4565.2,4583.1,4532.8,4547.0,547.219,1754107199999,2492970.3256,16024,253.617,1155730.1849,0
1754107200000,4547.1,4609.8,4527.7,4555.6,737.196,1754121599999,3373682.5394,21607,368.022,1685281.1563,0
1754121600000,4555.5,4605.4,4548.8,4580.9,470.299,1754135999999,2153633.2077,21146,225.794,1034164.8568,0
1754136000000,4581.2,4642.1,4560.4,4632.0,798.652,1754150399999,3676808.6573,22387,460.674,2121476.2709,0
1754150400000,4632.7,4719.7,4620.0,4691.2,1555.359,1754164799999,7258780.4165,38703,830.338,3876867.0228,0
1754164800000,4692.0,4717.0,4650.8,4696.0,584.810,1754179199999,2738788.1870,22747,266.952,1250518.8749,0
1754179200000,4695.9,4734.1,4659.8,4666.8,600.147,1754193599999,2815098.2184,19184,262.001,1229358.2873,0
1754193600000,4666.8,4674.8,4637.9,4643.0,303.886,1754207999999,1415627.4556,10806,131.426,612309.5367,0
1754208000000,4642.7,4647.7,4595.7,4620.0,501.768,1754222399999,2319790.5837,13495,185.517,857735.7604,0
1754222400000,4620.1,4640.0,4613.0,4620.7,481.351,1754236799999,2226835.9936,14898,204.641,946847.5214,0
1754236800000,4620.7,4628.8,4597.5,4616.7,283.095,1754251199999,1306338.3466,12657,131.730,607821.6006,0
1754251200000,4614.9,4626.8,4583.5,4599.0,171.660,1754265599999,791022.6657,9393,83.849,386487.3676,0
1754265600000,4598.9,4606.9,4540.0,4551.0,488.139,1754279999999,2226924.8141,16003,217.825,993908.2377,0
1754280000000,4551.0,4576.5,4542.0,4545.4,292.607,1754294399999,1334497.3005,10605,141.405,644879.9077,0
1754294400000,4545.7,4552.8,4530.0,4549.3,354.052,1754308799999,1607943.0413,12945,182.274,827918.6151,0
1754308800000,4549.2,4555.7,4467.7,4479.6,758.294,1754323199999,3406979.8115,21914,347.383,1560643.4695,0
