coin,kol,yon,cikis,bar,giris,tf,adx14,atr_pct,atr_norm,er20,er50,kanal_konum,kanal_atr,ic_oran40,rvol20,ema200_atr,get20,btc_adx,btc_er20,btc_get20,btc_atr_pct,btc_ic40,R,slp,cikis_ts,eff,pnl_pct,ay,fund,f_yon,f_z,fz_yon,giris_ts,chop
XRP,squeeze,-1,sure,48,2023-05-03 08:00:00+00:00,1h,32.31016945673605,0.0068450149281322,0.9950384575089796,0.0763888888888877,0.0588235294117642,0.4705882352941185,3.7826184955728936,1.0,0.0036345945755168,-2.895925585109513,-0.0047639670853182,31.23222177482669,0.3542721229493216,0.0206756145914528,0.0062375485126071,0.95,0.0171775381093128,0.0136900298562645,2023-05-05 08:00:00+00:00,0.0205350447843968,0.0352741514360422,2023-05,-1.942e-05,1.942e-05,-0.8006757659766921,0.8006757659766921,2023-05-03 08:00:00+00:00,49.012995928464015
DOGE,squeeze,1,sl,12,2023-05-05 20:00:00+00:00,1h,21.409856776085704,0.0066134854616389,1.039062788193715,0.1833333333333316,0.07570977917981,0.8664259927797805,5.291070891033483,1.0,0.0043086101548696,-0.3889065082605025,0.011241696474195,21.82410102336651,0.2724706798384342,0.0193578276638188,0.0072296523438808,0.975,-1.015120619918203,0.0132269709232778,2023-05-06 08:00:00+00:00,0.0198404563849167,-2.014045638491675,2023-05,0.0001,0.0001,0.4912006356800494,0.4912006356800494,2023-05-05 20:00:00+00:00,40.593335466013336
LTC,bb,1,sl,5,2023-05-06 08:00:00+00:00,1h,15.160980013439486,0.0074998435252114,1.0498255638252365,0.0981697171381038,0.1614956245027849,0.1592689295039157,5.906515395367196,1.0,0.004656185182909,-2.9408759135136577,-0.0067777139574957,22.758444971165027,0.2074815137016081,0.0131862663791673,0.0060088151627525,0.975,-1.0088896561443594,0.0224980580522075,2023-05-06 13:00:00+00:00,0.028,-2.8248910372042064,2023-05,5.772e-05,5.772e-05,-0.1623103647749878,-0.1623103647749878,2023-05-06 08:00:00+00:00,33.3561538778009
LTC,bb,-1,tp,5,2023-05-07 20:00:00+00:00,1h,19.56635669514971,0.0070019838980064,0.8845595524375927,0.2727272727272651,0.2458808618504435,0.5726495726495724,11.861961661525148,0.925,0.0023714340529222,-4.168577698581394,0.011125732743151,12.90679024989342,0.0327366933584585,-0.0009609601305247,0.0048997056186213,0.975,1.657478107875721,0.0210042287173139,2023-05-08 01:00:00+00:00,0.028,4.640938702052019,2023-05,2.095e-05,-2.095e-05,-0.5244664367473175,0.5244664367473175,2023-05-07 20:00:00+00:00,62.662497800819494
DOGE,squeeze,-1,tp,17,2023-05-08 01:00:00+00:00,1h,24.01318849906677,0.0101223330056461,1.436497144530703,0.4145454545454591,0.4370139968895811,0.3025048169556844,6.878557131302494,0.95,0.0076260936930583,-5.279045856101544,-0.0296797708929966,22.36792879391136,0.4111656213128022,-0.0229339207964004,0.0070266795905465,0.95,2.4901208545555424,0.0202446660112923,2023-05-08 18:00:00+00:00,0.028,6.972338392755519,2023-05,4.618e-05,-4.618e-05,-0.1882970500102976,0.1882970500102976,2023-05-08 01:00:00+00:00,32.883447022853446
XRP,squeeze,-1,sl,20,2023-05-11 08:00:00+00:00,1h,25.749719113927547,0.0089500904187266,0.9942878701397262,0.2602739726027389,0.0032292787944022,0.4806866952789709,6.17340681720813,1.0,0.0061260905450363,-5.671322152855472,-0.0220315398886827,30.515745978081547,0.3267759562841535,-0.0276072203499375,0.007678395128927,0.975,-1.0111730714799012,0.0179001808374533,2023-05-12 04:00:00+00:00,0.02685027125618,-2.7150271256180094,2023-05,0.0001,-0.0001,0.1399180684584268,-0.1399180684584268,2023-05-11 08:00:00+00:00,50.788295142896985
TRX,squeeze,-1,sl,20,2023-05-11 15:00:00+00:00,1h,27.893285460946814,0.0055159711878107,1.0639263484273516,0.2759643916913949,0.0790123456790126,0.13818181818182,7.303725136344122,0.925,0.0030628943795542,-1.8281966111133032,-0.0134412487353663,33.03474345384623,0.3123521921047852,-0.018608095659556,0.0082520588474405,0.975,-1.018129173738426,0.0110319423756214,2023-05-12 11:00:00+00:00,0.0165479135634322,-1.6847913563432158,2023-05,-4.224e-05,4.224e-05,-0.2400187254148246,0.2400187254148246,2023-05-11 15:00:00+00:00,49.88957328463345
LTC,bb,-1,sl,9,2023-05-14 06:00:00+00:00,1h,14.42501906860847,0.0063868828603657,0.6322088325287435,0.1943462897526552,0.1818181818181826,0.911111111111113,8.685515922846967,0.975,0.0022679793454434,-0.7145395283710232,0.0068263621695421,15.985474261779766,0.0175820756184833,0.0004213635024628,0.0045834000651006,1.0,-1.0104383729169568,0.0191600742367721,2023-05-14 15:00:00+00:00,0.028,-2.829227444167479,2023-05,5.997e-05,-5.997e-05,-0.1401496043197869,0.1401496043197869,2023-05-14 06:00:00+00:00,46.40494148499679
XLM,squeeze,-1,sl,11,2023-05-16 13:00:00+00:00,1h,22.534728449820165,0.0037857666232026,0.7842248005617255,0.2920353982300883,0.0596491228070172,0.0108695652173945,5.5578160831531775,0.975,0.0021546202889726,-5.059138559462617,-0.0111940298507463,23.866783457823832,0.3942727957799526,-0.0190302294030136,0.0055171856706174,0.95,-1.02641472915608,0.0075715332464053,2023-05-17 00:00:00+00:00,0.011357299869608,-1.1657299869608138,2023-05,-5.967e-05,5.967e-05,-0.9122167163767751,0.9122167163767751,2023-05-16 13:00:00+00:00,53.57694521884855
DOGE,squeeze,1,tp,19,2023-05-16 23:00:00+00:00,1h,21.886139182777868,0.0066865794658104,0.9969599659587516,0.2499999999999991,0.0936902485659647,0.7875000000000014,4.936431179891458,1.0,0.0038680062874093,-0.3562286730569565,0.0145109529789311,21.372994139977788,0.0914580695431976,-0.0034625553584796,0.0050899236869602,1.0,2.485044670371248,0.0133731589316208,2023-05-17 18:00:00+00:00,0.0200597383974312,4.984934599357789,2023-05,8.033e-05,8.033e-05,0.2428595082640492,0.2428595082640492,2023-05-16 23:00:00+00:00,52.20557705448113
XRP,squeeze,1,sl,7,2023-05-18 10:00:00+00:00,1h,22.081029708917264,0.0112733338349778,1.6195120218582095,0.5153707052441233,0.3396226415094343,0.9414141414141411,9.374237334236874,0.875,0.0114736072479284,6.2914603747906925,0.0647874516935667,26.553380300903,0.4275378702238301,0.0211916324243555,0.0050103011839392,0.925,-1.0088704904391028,0.0225466676699556,2023-05-18 17:00:00+00:00,0.028,-2.824837373229488,2023-05,0.0001,0.0001,0.1399180684584268,0.1399180684584268,2023-05-18 10:00:00+00:00,32.04905629432053
TRX,squeeze,1,tp,1,2023-05-20 13:00:00+00:00,1h,20.45783303417978,0.0029575676984056,0.8001880506877054,0.4413407821229045,0.1158301158301133,0.8838709677419354,7.341074337146424,0.95,0.0021850014192546,6.117138836505941,0.0111898016997167,18.631947092783484,0.0584208124144284,-0.0009515172239485,0.0027872783567886,1.0,2.466188432456209,0.0059151353968112,2023-05-20 14:00:00+00:00,0.0088727030952168,2.1881757738042262,2023-05,-9.238e-05,-9.238e-05,-0.4643286881221368,-0.4643286881221368,2023-05-20 13:00:00+00:00,33.662851268433556
ADA,donchian,-1,sl,5,2023-05-21 12:00:00+00:00,4h,16.126193657350953,0.0123812758166639,0.7168363428176524,0.6428571428571429,0.0785241248817406,0.1234042553191494,5.275228848438396,0.95,0.0046844793177113,-4.4418266360269865,-0.0476442562202223,14.714468450968823,0.2892454722435246,-0.0179103714310763,0.0088065616700171,1.0,-1.008076712083694,0.0247625516333278,2023-05-22 08:00:00+00:00,0.028,-2.822614793834343,2023-05,-2.054e-05,2.054e-05,-0.7238287000173552,0.7238287000173552,2023-05-21 12:00:00+00:00,43.2716150849291
LTC,bb,-1,sure,48,2023-05-20 15:00:00+00:00,1h,14.631204793316233,0.0058945677812545,0.5819668059011579,0.1188118811881165,0.0010845986984813,0.6085526315789442,5.601488832481206,1.0,0.0031682925631985,6.294400929397768,0.0052407468064197,20.84088572153471,0.2627037392138157,0.004085542918703,0.0027337690585495,1.0,0.6274560010741304,0.0176837152122896,2023-05-22 15:00:00+00:00,0.0265255728184344,1.6643629846855523,2023-05,7.868e-05,-7.868e-05,0.0441294303987958,-0.0441294303987958,2023-05-20 15:00:00+00:00,44.66197013285351
NEAR,donchian,-1,sl,9,2023-05-21 12:00:00+00:00,4h,12.01406837844109,0.0137470003909124,0.6410686649584708,0.4478527607361953,0.0401529636711279,0.0917431192660551,4.900495961696936,0.95,0.0060820837845703,-7.433003456179347,-0.0431697220579538,14.714468450968823,0.2892454722435246,-0.0179103714310763,0.0088065616700171,1.0,-1.0072743141890157,0.0274940007818248,2023-05-23 00:00:00+00:00,0.028,-2.820368079729244,2023-05,1.4e-06,-1.4e-06,-0.4630146567635658,0.4630146567635658,2023-05-21 12:00:00+00:00,39.17354442587698
ETH,donchian,1,sl,6,2023-05-23 00:00:00+00:00,4h,12.89610903603634,0.0093553116240824,0.7052308016226856,0.5105820105820117,0.2105263157894743,0.9128926575448066,5.948236331344634,0.975,0.0062081749946481,0.7011393028410163,0.0298413504812498,13.77410948845797,0.2857682144205364,0.0197530035823054,0.0094528775705087,1.0,-1.0106891148064576,0.0187106232481649,2023-05-24 00:00:00+00:00,0.028,-2.829929521458081,2023-05,9.003e-05,9.003e-05,0.0208538375015574,0.0208538375015574,2023-05-23 00:00:00+00:00,37.74588846911461
