ts,symbol,oi,oi_usd,price,funding
2026-07-29T23:03:12+00:00,ETH,99452828.0,189286578475.84,1903.28,2.7e-05
2026-07-29T23:03:12+00:00,ADA,64346429.0,10424121.498,0.162,6.3e-05
2026-07-29T23:03:12+00:00,NEAR,6943395.0,11151092.370000001,1.606,1.8e-05
2026-07-29T23:03:12+00:00,BCH,8502561.0,1786558117.32,210.12,-4.2e-05
2026-07-29T23:03:12+00:00,ICP,244154841.0,501738198.25500005,2.055,-0.000127
2026-07-29T23:03:12+00:00,BNB,4290391.0,2453245573.7999997,571.8,6.8e-05
2026-07-29T23:03:12+00:00,XRP,56954469.0,61066581.661800005,1.0722,6e-05
2026-07-29T23:03:12+00:00,DOGE,5461403.0,382188.98194,0.06998,-1.6e-05
2026-07-29T23:03:12+00:00,TRX,1072321.0,349383.62822,0.32582,-7.8e-05
2026-07-29T23:03:12+00:00,XLM,4557419.0,782463.2681100001,0.17169,-0.000116
2026-07-29T23:03:12+00:00,LTC,19176528.0,866395535.04,45.18,1.9e-05
2026-07-29T23:18:15+00:00,SOL,21665763.0,1593733526.28,73.56,1.3e-05
2026-07-29T23:18:15+00:00,ETH,99520228.0,189625842431.2,1905.4,3.2e-05
2026-07-29T23:18:15+00:00,ADA,64222121.0,10391139.1778,0.1618,6.2e-05
2026-07-29T23:18:15+00:00,NEAR,6953909.0,11174931.763,1.607,2.4e-05
2026-07-29T23:18:15+00:00,BCH,8481213.0,1792589179.68,211.36,-3.2e-05
2026-07-29T23:18:15+00:00,ICP,243831124.0,500829128.696,2.054,-0.000141
2026-07-29T23:18:15+00:00,BNB,4299423.0,2460989725.2,572.4,6.6e-05
2026-07-29T23:18:15+00:00,XRP,56210994.0,60263806.6674,1.0721,5.6e-05
2026-07-29T23:18:15+00:00,DOGE,5509152.0,385916.0976,0.07005,-1.7e-05
2026-07-29T23:18:15+00:00,TRX,1072483.0,349221.91446,0.32562,-7.9e-05
2026-07-29T23:18:15+00:00,XLM,4573130.0,786166.7783,0.17191,-0.000122
2026-07-29T23:18:15+00:00,LTC,19210022.0,866564092.42,45.11,1.2e-05
2026-07-29T23:33:26+00:00,SOL,21376518.0,1572456664.0800002,73.56,1.6e-05
2026-07-29T23:33:26+00:00,ETH,100041747.0,190727589820.56,1906.48,3.8e-05
2026-07-29T23:33:26+00:00,ADA,64223919.0,10429964.4456,0.1624,6.4e-05
2026-07-29T23:33:26+00:00,NEAR,6951600.0,11226834.0,1.615,2.7e-05
2026-07-29T23:33:26+00:00,BCH,8488311.0,1796635906.26,211.66,-2.2e-05
2026-07-29T23:33:26+00:00,ICP,244115478.0,501901422.768,2.056,-0.000134
2026-07-29T23:33:26+00:00,BNB,4279219.0,2449424955.6,572.4,6.9e-05
2026-07-29T23:33:26+00:00,XRP,57799656.0,61995911.0256,1.0726,5.4e-05
2026-07-29T23:33:26+00:00,DOGE,5526700.0,387476.93700000003,0.07011,-1.4e-05
2026-07-29T23:33:26+00:00,TRX,1072483.0,349114.66615999996,0.32552,-8.4e-05
2026-07-29T23:33:26+00:00,XLM,4571083.0,785220.6377399999,0.17178,-0.000121
2026-07-29T23:33:26+00:00,LTC,19112951.0,864861032.75,45.25,9e-06
2026-07-29T23:48:39+00:00,SOL,19834799.0,1461031294.34,73.66,2.1e-05
2026-07-29T23:48:39+00:00,ETH,101481052.0,193781113225.56,1909.53,4.2e-05
2026-07-29T23:48:39+00:00,ADA,65274630.0,10581017.523,0.1621,6.4e-05
2026-07-29T23:48:39+00:00,NEAR,6954654.0,11259584.826,1.619,3.6e-05
2026-07-29T23:48:39+00:00,BCH,8488068.0,1793613649.08,211.31,-1.8e-05
2026-07-29T23:48:39+00:00,ICP,243795006.0,501973917.35400003,2.059,-0.000147
2026-07-29T23:48:39+00:00,BNB,4293240.0,2460885168.0,573.2,6.9e-05
2026-07-29T23:48:39+00:00,XRP,56960444.0,61192604.9892,1.0743,5.6e-05
2026-07-29T23:48:39+00:00,DOGE,5618980.0,394340.0164,0.07018,-1.3e-05
2026-07-29T23:48:39+00:00,TRX,1079773.0,351584.88653,0.32561,-9e-05
2026-07-29T23:48:39+00:00,XLM,4558588.0,783940.3783600001,0.17197,-0.000124
2026-07-29T23:48:39+00:00,LTC,19046140.0,864694756.0,45.4,3e-06
2026-07-30T00:03:39+00:00,SOL,21221754.0,1562133311.94,73.61,2.2e-05
2026-07-30T00:03:39+00:00,ETH,102266776.0,195172051324.96,1908.46,3.8e-05
2026-07-30T00:03:39+00:00,ADA,65646927.0,10634802.174,0.162,6.3e-05
2026-07-30T00:03:39+00:00,NEAR,6930270.0,11199316.32,1.616,2.9e-05
2026-07-30T00:03:39+00:00,BCH,8496384.0,1796135577.6000001,211.4,-1.2e-05
2026-07-30T00:03:39+00:00,ICP,242839776.0,500007098.78400004,2.059,-0.000164
2026-07-30T00:03:39+00:00,BNB,4296407.0,2460552288.9,572.7,6.9e-05
2026-07-30T00:03:39+00:00,XRP,57020333.0,61165711.2091,1.0727,5.9e-05
2026-07-30T00:03:39+00:00,DOGE,5620009.0,394075.03108,0.07012,-1e-05
2026-07-30T00:03:39+00:00,TRX,1082708.0,352399.79984,0.32548,-8.6e-05
